,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
406,,Grande,230,12,19,0,12,160,
407,,Venti,300,15,24,0,15,200,
408,Caffè Mocha,Solo,260,7,37,5,11,110,
409,,Short,130,3.5,18,3,6,55,
410,,Tall,200,5,28,4,9,90,
411,,Grande,260,7,37,5,11,110,
412,,Venti,330,9,46,6,15,140,
413,Caffè Mocha w/ 2% Milk,Short,150,4,21,2,7,70,
414,,Tall,230,6,32,3,10,115,
415,,Grande,290,8,42,4,13,140,
416,,Venti,380,11,53,5,17,190,
417,Caffè Mocha w/ 2% Milk,Short,200,9,22,2,7,75,
418,,Tall,290,13,34,3,11,120,
419,,Grande,360,15,44,4,13,150,
420,,Venti,450,18,55,5,17,190,
421,Caffè Mocha w/ Nonfat Milk,Short,120,1.5,21,2,7,65,
422,,Tall,190,2,32,3,10,100,
423,,Grande,250,2.5,42,4,13,125,
424,,Venti,310,3.5,54,5,17,170,
425,Caffè Mocha w/ Whipped Cream,Short,180,9,20,3,6,60,
426,,Tall,260,11,30,4,9,95,
427,,Grande,330,14,39,5,12,115,
428,,Venti,400,16,48,6,15,150,
429,Caffè Mocha w/ Whole Milk,Short,160,6,21,2,6,65,
430,,Tall,250,9,32,3,10,105,
431,,Grande,330,12,42,4,13,130,
432,,Venti,420,16,53,5,16,170,
433,Caffè Mocha w/ Whole Milk,Short,210,11,22,2,7,70,
434,,Tall,310,16,34,3,10,110,
435,,Grande,400,19,44,4,13,135,
436,,Venti,490,23,55,5,17,180,
437,Cappuccino w/ 2% Milk,Short,80,3,8,0,5,70,
438,,Tall,90,3.5,9,0,6,80,
439,,Grande,120,4,12,0,8,100,
440,,Venti,150,6,16,0,10,135,
441,Cappuccino w/ Nonfat Milk,Short,50,0,8,0,5,60,
442,,Tall,60,0,9,0,6,70,
443,,Grande,80,0,12,0,8,90,
444,,Venti,110,0,16,0,10,120,
445,Cappuccino w/ Whole Milk,Short,90,4.5,8,0,5,60,
446,,Tall,110,6,9,0,6,75,
447,,Grande,140,7,12,0,7,90,
448,,Venti,190,9,16,0,10,125,
449,Caramel Macchiato w/ 2% Milk,Short,120,4,16,0,5,80,
450,,Tall,190,6,26,0,8,120,
451,,Grande,250,7,35,0,10,150,
452,,Venti,310,9,44,0,13,190,
453,Caramel Macchiato w/ Nonfat Milk,Short,100,1,16,0,5,70,
454,,Tall,150,1.5,27,0,8,105,
455,,Grande,200,1.5,36,0,11,135,
456,,Venti,250,1.5,45,0,13,170,
457,Caramel Macchiato w/ Whole Milk,Short,140,6,16,0,5,70,
458,,Tall,210,9,26,0,8,110,
459,,Grande,280,11,35,0,10,140,
460,,Venti,350,13,44,0,12,170,
461,Cinnamon Dolce Latte w/ 2% Milk,Short,130,3.5,21,0,6,80,
462,,Tall,210,5,31,0,9,125,
463,,Grande,270,7,41,0,11,160,
464,,Venti,350,9,52,0,15,200,
465,Cinnamon Dolce Latte w/ 2% Milk,Short,190,8,23,0,6,80,
466,,Tall,270,11,34,0,9,130,
467,,Grande,340,13,44,0,12,160,
468,,Venti,420,15,55,0,15,210,
469,Cinnamon Dolce Latte w/ Nonfat Milk,Short,110,0,21,0,6,70,
470,,Tall,170,0,32,0,9,110,
471,,Grande,220,0,42,0,12,140,
472,,Venti,280,0,53,0,15,180,
473,Cinnamon Dolce Latte w/ Nonfat Milk,Short,160,5,23,0,6,75,
474,,Tall,230,6,34,0,10,115,
475,,Grande,290,7,44,0,12,150,
476,,Venti,350,7,55,0,16,190,
477,Cinnamon Dolce Latte w/ Whole Milk,Short,150,5,21,0,5,70,
478,,Tall,240,9,31,0,9,115,
479,,Grande,310,11,41,0,11,140,
480,,Venti,390,14,52,0,14,190,
481,Cinnamon Dolce Latte w/ Whole Milk,Short,210,10,23,0,6,75,
