,Food,Size, 
247,"French Dressing
Calories: 130/260
Fat: 8/17
Carbs: 430/850
Protein: 0/1",,Price
248,"Honey Mustard Dressing
Calories: 180/360
Fat: 15/30
Carbs: 12/25
Protein: 0",,Price
249,"Italian Dressing, Fat-Free
Calories: 15/30
Fat: 0
Carbs: 4/8
Protein: 0",,Price
250,"Mango Habanero Sauce
Calories: 100
Fat: 0
Carbs: 27
Protein: 0",,Price
251,"Maple-Flavored Syrup
Calories: 220
Fat: 0
Carbs: 54
Protein: 0",,Price
252,"Maple-Flavored Syrup, Sugar-Free
Calories: 15
Fat: 0
Carbs: 6
Protein: 0 ",,Price
253,"Pico de Gallo
Calories: 15
Fat: 0
Carbs: 3
Protein: 1 ",,Price
254,"Ranch Dressing
Calories: 200/390
Fat: 21/42
Carbs: 1/2
Protein: 0",,Price
255,"Sour Cream
Calories: 45
Fat: 4
Carbs: 1
Protein: 1 ",,Price
256,"Thousand Island Dressing
Calories: 160/330
Fat: 16/33
Carbs: 7/15
Protein: 0",,Price
257,"Tomato Sauce 
Calories: 25
Fat: 1
Carbs: 3
Protein: 1 ",,Price
258,"Whipped Margarine
Calories: 40
Fat: 4.5
Carbs: 0
Protein: 0 ",,Price
259,"Silver Dollar Pancakes
Calories: 190
Fat: 7
Carbs: 29
Protein: 4",,Price
260,"Grilled Chicken on a Stick (add dipping sauce & side)
Calories: 200
Fat: 9
Carbs: 0
Protein: 29 ",,Price
261,"Grilled Chicken on a Stick w/ broccoli, Appley Ever After® juice
& w/o sauce
Calories: 270
Fat: 9
Carbs: 15
Protein: 31",,Price
262,"Jr. Birthday Cake Pancakes (add side)
Calories: 330
Fat: 8
Carbs: 60
Protein: 5",,Price
263,"Jr. Cheeseburger (add side)
Calories: 490
Fat: 26
Carbs: 34
Protein: 29",,Price
264,"Jr. Chocolate Chip Pancakes (add side)
Calories: 220
Fat: 6
Carbs: 38
Protein: 4",,Price
